Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1931,6,-0.220,-0.182,-0.170,-0.194,
1931,7,-0.224,-0.182,-0.170,-0.194,
1931,8,-0.248,-0.182,-0.170,-0.193,
1931,9,-0.246,-0.181,-0.170,-0.193,
1931,10,-0.290,-0.181,-0.169,-0.193,
1931,11,-0.274,-0.181,-0.169,-0.193,
1931,12,-0.220,-0.181,-0.169,-0.192,
1932,1,-0.191,-0.180,-0.169,-0.192,
1932,2,-0.184,-0.180,-0.168,-0.192,
1932,3,-0.195,-0.180,-0.168,-0.192,
1932,4,-0.186,-0.180,-0.168,-0.191,
1932,5,-0.198,-0.179,-0.168,-0.191,
1932,6,-0.202,-0.179,-0.167,-0.191,
1932,7,-0.175,-0.179,-0.167,-0.190,
1932,8,-0.190,-0.179,-0.167,-0.190,
1932,9,-0.149,-0.178,-0.167,-0.190,
1932,10,-0.302,-0.178,-0.166,-0.190,
1932,11,-0.170,-0.178,-0.166,-0.189,
1932,12,-0.092,-0.177,-0.166,-0.189,
1933,1,-0.154,-0.177,-0.166,-0.189,
1933,2,-0.160,-0.177,-0.165,-0.188,
1933,3,-0.192,-0.177,-0.165,-0.188,
1933,4,-0.131,-0.176,-0.165,-0.188,
1933,5,-0.144,-0.176,-0.165,-0.188,
1933,6,-0.116,-0.176,-0.164,-0.187,
1933,7,-0.166,-0.176,-0.164,-0.187,
1933,8,-0.147,-0.175,-0.164,-0.187,
1933,9,-0.198,-0.175,-0.164,-0.186,
1933,10,-0.089,-0.175,-0.163,-0.186,
1933,11,-0.115,-0.175,-0.163,-0.186,
1933,12,-0.226,-0.174,-0.163,-0.186,
1934,1,-0.170,-0.174,-0.163,-0.185,
1934,2,-0.199,-0.174,-0.162,-0.185,
1934,3,-0.213,-0.173,-0.162,-0.185,
1934,4,-0.170,-0.173,-0.162,-0.184,
1934,5,-0.198,-0.173,-0.162,-0.184,
1934,6,-0.171,-0.173,-0.161,-0.184,
1934,7,-0.194,-0.172,-0.161,-0.184,
1934,8,-0.208,-0.172,-0.161,-0.183,
1934,9,-0.210,-0.172,-0.161,-0.183,
1934,10,-0.177,-0.172,-0.160,-0.183,
1934,11,-0.204,-0.171,-0.160,-0.182,
1934,12,-0.177,-0.171,-0.160,-0.182,
1935,1,-0.087,-0.171,-0.160,-0.182,
1935,2,-0.129,-0.171,-0.159,-0.182,
1935,3,-0.168,-0.170,-0.159,-0.181,
1935,4,-0.106,-0.170,-0.159,-0.181,
1935,5,-0.205,-0.170,-0.159,-0.181,
1935,6,-0.171,-0.169,-0.158,-0.181,
1935,7,-0.181,-0.169,-0.158,-0.180,
1935,8,-0.196,-0.169,-0.158,-0.180,
1935,9,-0.252,-0.169,-0.158,-0.180,
1935,10,-0.156,-0.168,-0.157,-0.179,
1935,11,-0.091,-0.168,-0.157,-0.179,
1935,12,-0.140,-0.168,-0.157,-0.179,
1936,1,-0.154,-0.168,-0.157,-0.179,
1936,2,-0.114,-0.167,-0.156,-0.178,
1936,3,-0.186,-0.167,-0.156,-0.178,
1936,4,-0.207,-0.167,-0.156,-0.178,
1936,5,-0.052,-0.167,-0.156,-0.177,
1936,6,-0.055,-0.166,-0.155,-0.177,
1936,7,-0.166,-0.166,-0.155,-0.177,
1936,8,-0.156,-0.166,-0.155,-0.177,
1936,9,-0.143,-0.165,-0.155,-0.176,
1936,10,-0.174,-0.165,-0.154,-0.176,
1936,11,-0.188,-0.165,-0.154,-0.176,
1936,12,-0.082,-0.165,-0.154,-0.175,
1937,1,-0.151,-0.164,-0.154,-0.175,
1937,2,-0.041,-0.164,-0.153,-0.175,
1937,3,-0.128,-0.164,-0.153,-0.175,
1937,4,-0.152,-0.164,-0.153,-0.174,
1937,5,-0.092,-0.163,-0.153,-0.174,
1937,6,-0.183,-0.163,-0.152,-0.174,
1937,7,-0.124,-0.163,-0.152,-0.173,
1937,8,-0.126,-0.163,-0.152,-0.173,
1937,9,-0.152,-0.162,-0.152,-0.173,
1937,10,-0.135,-0.162,-0.151,-0.173,
1937,11,-0.179,-0.162,-0.151,-0.172,
1937,12,-0.171,-0.161,-0.151,-0.172,
1938,1,-0.145,-0.161,-0.151,-0.172,
1938,2,-0.138,-0.161,-0.150,-0.172,
1938,3,-0.183,-0.161,-0.150,-0.171,
1938,4,-0.177,-0.160,-0.150,-0.171,
1938,5,-0.165,-0.160,-0.150,-0.171,
1938,6,-0.174,-0.160,-0.149,-0.170,
1938,7,-0.197,-0.160,-0.149,-0.170,
1938,8,-0.172,-0.159,-0.149,-0.170,
1938,9,-0.204,-0.159,-0.149,-0.170,
1938,10,-0.156,-0.159,-0.148,-0.169,
1938,11,-0.079,-0.159,-0.148,-0.169,
1938,12,-0.122,-0.158,-0.148,-0.169,
1939,1,-0.160,-0.158,-0.148,-0.168,
1939,2,-0.166,-0.158,-0.147,-0.168,
1939,3,-0.180,-0.157,-0.147,-0.168,
1939,4,-0.164,-0.157,-0.147,-0.168,
1939,5,-0.128,-0.157,-0.147,-0.167,
1939,6,-0.156,-0.157,-0.146,-0.167,
1939,7,-0.160,-0.156,-0.146,-0.167,
1939,8,-0.144,-0.156,-0.146,-0.166,
1939,9,-0.097,-0.156,-0.146,-0.166,
1939,10,-0.119,-0.156,-0.145,-0.166,
1939,11,-0.103,-0.155,-0.145,-0.166,
1939,12,-0.192,-0.155,-0.145,-0.165,
1940,1,-0.145,-0.155,-0.145,-0.165,
1940,2,-0.144,-0.155,-0.144,-0.165,
1940,3,-0.155,-0.154,-0.144,-0.165,
1940,4,-0.222,-0.154,-0.144,-0.164,
