Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1989,10,-0.101,-0.028,-0.012,-0.043,
1989,11,-0.036,-0.027,-0.011,-0.043,
1989,12,-0.104,-0.027,-0.011,-0.043,
1990,1,-0.038,-0.026,-0.011,-0.042,
1990,2,0.007,-0.026,-0.010,-0.042,
1990,3,0.087,-0.025,-0.010,-0.041,
1990,4,0.006,-0.025,-0.010,-0.041,
1990,5,0.061,-0.025,-0.009,-0.040,
1990,6,0.010,-0.024,-0.009,-0.040,
1990,7,0.046,-0.024,-0.008,-0.039,
1990,8,0.032,-0.023,-0.008,-0.039,
1990,9,-0.031,-0.023,-0.008,-0.038,
1990,10,-0.028,-0.023,-0.007,-0.038,
1990,11,0.079,-0.022,-0.007,-0.037,
1990,12,0.037,-0.022,-0.007,-0.037,
1991,1,0.075,-0.021,-0.006,-0.036,
1991,2,-0.026,-0.021,-0.006,-0.036,
1991,3,0.041,-0.020,-0.005,-0.035,
1991,4,0.077,-0.020,-0.005,-0.035,
1991,5,0.137,-0.020,-0.005,-0.034,
1991,6,0.032,-0.019,-0.004,-0.034,
1991,7,0.043,-0.019,-0.004,-0.033,
1991,8,-0.008,-0.018,-0.004,-0.033,
1991,9,0.021,-0.018,-0.003,-0.033,
1991,10,0.003,-0.017,-0.003,-0.032,
1991,11,-0.000,-0.017,-0.003,-0.032,
1991,12,-0.010,-0.017,-0.002,-0.031,
1992,1,0.051,-0.016,-0.002,-0.031,
1992,2,0.092,-0.016,-0.001,-0.030,
1992,3,-0.029,-0.015,-0.001,-0.030,
1992,4,-0.012,-0.015,-0.001,-0.029,
1992,5,-0.055,-0.015,-0.000,-0.029,
1992,6,0.068,-0.014,0.000,-0.028,
1992,7,0.009,-0.014,0.000,-0.028,
1992,8,0.016,-0.013,0.001,-0.027,
1992,9,0.012,-0.013,0.001,-0.027,
1992,10,0.049,-0.012,0.002,-0.026,
1992,11,0.012,-0.012,0.002,-0.026,
1992,12,0.028,-0.012,0.002,-0.025,
1993,1,0.096,-0.011,0.003,-0.025,
1993,2,0.065,-0.011,0.003,-0.024,
1993,3,-0.050,-0.010,0.003,-0.024,
1993,4,-0.015,-0.010,0.004,-0.024,
1993,5,0.027,-0.009,0.004,-0.023,
1993,6,-0.008,-0.009,0.005,-0.023,
1993,7,-0.150,-0.009,0.005,-0.022,
1993,8,-0.058,-0.008,0.005,-0.022,
1993,9,-0.009,-0.008,0.006,-0.021,
1993,10,0.019,-0.007,0.006,-0.021,
1993,11,-0.050,-0.007,0.006,-0.020,
1993,12,0.004,-0.006,0.007,-0.020,
1994,1,-0.047,-0.006,0.007,-0.019,
1994,2,0.008,-0.006,0.008,-0.019,
1994,3,0.002,-0.005,0.008,-0.018,
1994,4,0.022,-0.005,0.008,-0.018,
1994,5,-0.031,-0.004,0.009,-0.017,
1994,6,-0.001,-0.004,0.009,-0.017,
1994,7,0.065,-0.004,0.009,-0.016,
1994,8,0.053,-0.003,0.010,-0.016,
1994,9,0.032,-0.003,0.010,-0.015,
1994,10,0.053,-0.002,0.011,-0.015,
1994,11,-0.002,-0.002,0.011,-0.015,
1994,12,0.042,-0.001,0.011,-0.014,
1995,1,0.014,-0.001,0.012,-0.014,
1995,2,-0.100,-0.001,0.012,-0.013,
1995,3,0.043,-0.000,0.012,-0.013,
1995,4,0.054,0.000,0.013,-0.012,
1995,5,0.045,0.001,0.013,-0.012,
1995,6,-0.013,0.001,0.014,-0.011,
1995,7,0.033,0.002,0.014,-0.011,
1995,8,0.117,0.002,0.014,-0.010,
1995,9,0.075,0.002,0.015,-0.010,
1995,10,0.054,0.003,0.015,-0.009,
1995,11,-0.042,0.003,0.015,-0.009,
1995,12,-0.011,0.004,0.016,-0.008,
1996,1,-0.006,0.004,0.016,-0.008,
1996,2,-0.053,0.005,0.017,-0.007,
1996,3,-0.061,0.005,0.017,-0.007,
1996,4,-0.052,0.005,0.017,-0.007,
1996,5,-0.054,0.006,0.018,-0.006,
1996,6,-0.058,0.006,0.018,-0.006,
1996,7,0.010,0.007,0.018,-0.005,
1996,8,0.005,0.007,0.019,-0.005,
