Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,"[""USGS"",""0000100FT""]",,,,,,USGS-251241080385301,G  -3764,Well,,Florida,United States of America,Miami-Dade County,US,FL,,03090202,030902021300,,,25.21,-80.6477777777778,NAD83,25.21,-80.6477777777778,NAD83,,09b7afa4-ffb9-402c-bf60-df6919ca47cb,,"Sample - Routine, regular",Water,Groundwater,,,,USGS - Florida Water Science Center,,,,,,,,,,,,,2018-10-03,17:56:00,EDT,,,,,,,,,,,,50,USDOI/USGS,Point sample,,Point / Grab: Point sample,Other,,,,,,,,,,,,,Not applicable,Not applicable,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,be539fb6-fcdc-4cba-9e6e-2cccd77d685f,28,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-01-15,00480,
USGS,U.S. Geological Survey,"[""USGS"",""0000100FT""]",,,,,,USGS-251152080370900,"EAST CREEK NEAR HOMESTEAD, FL",Stream,,Florida,United States of America,Miami-Dade County,US,FL,,03090202,030902021400,,,25.1982111111111,-80.6190944444444,NAD83,25.1982111111111,-80.6190944444444,NAD83,,d331f8d0-2b6f-4a44-b0bc-ade03524f16e,,"Sample - Routine, regular",Water,Surface water,,,,USGS - Florida Water Science Center,,,,,,,,,,,,,2023-06-05,11:34:00,EDT,,,,,,,,,,,,50,USDOI/USGS,Point sample,,Point / Grab: Point sample,Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,938002e2-a013-4838-b55e-c982bf80ba82,22,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-01-15,00480,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-251241080385301,G  -3764,Well,,Florida,United States of America,Miami-Dade County,US,FL,,03090202,030902021300,,,25.21,-80.6477777777778,NAD83,25.21,-80.6477777777778,NAD83,,6376dd46-ae7c-4ea1-a730-865f1c78858f,,"Sample - Routine, regular",Water,Groundwater,,,,USGS - Florida Water Science Center,,,,,,,,,,,,,2016-06-08,12:40:00,EDT,,,,,,,,,,,,50,USDOI/USGS,Point sample,,Point / Grab: Point sample,Other,,,,,,,,,,,,,Not applicable,Not applicable,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,bfb9de6c-09ca-4b5b-8e86-0a2a94a86088,29,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,00094,USDOI/USGS,Salinity,,DESCRIPTION: SALINITY (PPT); CITATION(S): Standard Methods for the Examination of Water and Wastewater | STDMETH | 2520B,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-01-15,00480,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-251241080385301,G  -3764,Well,,Florida,United States of America,Miami-Dade County,US,FL,,03090202,030902021300,,,25.21,-80.6477777777778,NAD83,25.21,-80.6477777777778,NAD83,,9e7c7ad4-4756-47f1-bc24-2fe882f788bc,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2014-04-08,11:40:00,EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,Not applicable,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,c4da4add-17c9-4cc8-ad07-404b9e709adb,26,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-01-15,00480,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-251032080473400,"ALLIGATOR CREEK NEAR GARFIELD BIGHT, FL",Stream,,Florida,United States of America,Miami-Dade County,US,FL,,03090202,030902021400,,,25.1755555555556,-80.7927777777778,NAD83,25.1755555555556,-80.7927777777778,NAD83,,fc88b04a-3197-47d8-99c0-d5e9f534adff,,"Sample - Routine, regular",Water,Surface water,,,,USGS - Florida Water Science Center,,,,,,,,,,,,,2018-04-02,10:12:00,EDT,,,,,,,,,,,,30,USDOI/USGS,Single vertical DI,,"Depth-integrated: Single vertical, depth integrated",,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,dd293531-c872-476d-85a3-d5c94b7c26ec,37,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-01-16,00480,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-251032080473400,"ALLIGATOR CREEK NEAR GARFIELD BIGHT, FL",Stream,,Florida,United States of America,Miami-Dade County,US,FL,,03090202,030902021400,,,25.1755555555556,-80.7927777777778,NAD83,25.1755555555556,-80.7927777777778,NAD83,,5800713f-2db1-4b9a-80b2-a8773c34c99c,,"Sample - Routine, regular",Water,Surface water,,,,USGS - Florida Water Science Center,,,,,,,,,,,,,2020-06-01,10:55:00,EDT,,,,,,,,,,,,50,USDOI/USGS,Point sample,,Point / Grab: Point sample,Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,13edf08e-8a89-4971-9842-6b6887d4a658,30,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-01-15,00480,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-251115081075800,"RAULERSON BROTHERS CANAL AT CAPE SABLE, FL",Stream,,Florida,United States of America,Monroe County,US,FL,,03090203,,,,25.187652777777778,-81.13277777777778,NAD83,25.187652777777778,-81.13277777777778,NAD83,,9a12ef95-695c-4f5e-88f0-e2cd1b23f12e,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2012-11-08,14:15:00,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falling stage,Tidal action,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,8d67a60c-fe10-45a6-a778-4e5423f7fc64,27,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-02-27,00480,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-251241080385301,G  -3764,Well,,Florida,United States of America,Miami-Dade County,US,FL,,03090202,030902021300,,,25.21,-80.6477777777778,NAD83,25.21,-80.6477777777778,NAD83,,acb25488-ee9a-4666-b73e-d5883fe78db6,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2013-08-07,09:20:00,EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,Not applicable,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,3fe8b375-eb4d-4fe7-bcc6-ca4dd37e04b0,20,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-01-15,00480,
USGS,U.S. Geological Survey,"[""USGS"",""0000100FT""]",,,,,,USGS-251152080370900,"EAST CREEK NEAR HOMESTEAD, FL",Stream,,Florida,United States of America,Miami-Dade County,US,FL,,03090202,030902021400,,,25.1982111111111,-80.6190944444444,NAD83,25.1982111111111,-80.6190944444444,NAD83,,076d77ad-7a9d-4912-b3eb-d591d0867a9d,,"Sample - Routine, regular",Water,Surface water,,,,USGS - Florida Water Science Center,,,,,,,,,,,,,2022-08-01,10:59:00,EDT,,,,,,,,,,,,50,USDOI/USGS,Point sample,,Point / Grab: Point sample,Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,63cc284b-0bed-47dd-a69b-92968f960a3e,3.5,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-01-15,00480,
USGS,U.S. Geological Survey,"[""USGS"",""0000100FT""]",,,,,,USGS-251115081075800,"RAULERSON BROTHERS CANAL AT CAPE SABLE, FL",Stream,,Florida,United States of America,Monroe County,US,FL,,03090203,,,,25.187652777777778,-81.13277777777778,NAD83,25.187652777777778,-81.13277777777778,NAD83,,e434cfbd-a814-427c-bc05-332bbf63359b,,"Sample - Routine, regular",Water,Surface water,,,,USGS - Florida Water Science Center,,,,,,,,,,,,,2020-05-05,11:44:00,EDT,,,,,,,,,,,,50,USDOI/USGS,Point sample,,Point / Grab: Point sample,"US DH-81, Teflon cap and nozzle",,,,,,,,,,,,,Rising stage,Routine sample,,,,,,Salinity,"Salinity, water, unfiltered",,,Unfiltered,,,,,,,,,,,,,,,,,,,71d9697c-4e1b-4083-b8a3-05655528ab6b,36,ppth,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-02-27,00480,
